repo,file,function
data/raw/repos\official\core,base_trainer_test.py,def eval_begin(self):
data/raw/repos\official\core,base_trainer_test.py,"def eval_step(self, iterator):"
data/raw/repos\official\core,base_trainer_test.py,def replica_step(_):
data/raw/repos\official\core,base_trainer_test.py,def eval_end(self):
data/raw/repos\official\core,base_trainer_test.py,def setUp(self):
data/raw/repos\official\core,base_trainer_test.py,def tearDown(self):
data/raw/repos\official\core,base_trainer_test.py,"def create_test_trainer(self, config, model_dir=None, task=None):"
data/raw/repos\official\core,base_trainer_test.py,"def test_trainer_train(self, distribution):"
data/raw/repos\official\core,base_trainer_test.py,"def test_trainer_passing_datasets(self, distribution):"
data/raw/repos\official\core,base_trainer_test.py,def test_base_async_trainer(self):
data/raw/repos\official\core,base_trainer_test.py,def test_async_trainer_train(self):
data/raw/repos\official\core,base_trainer_test.py,def test_async_trainer_validate(self):
data/raw/repos\official\core,base_trainer_test.py,"def test_trainer_validate(self, distribution):"
data/raw/repos\official\core,base_trainer_test.py,"def test_trainer_validate_without_loss(self, distribution):"
data/raw/repos\official\core,base_trainer_test.py,"def validation_step(self, inputs, model, metrics=None):"
data/raw/repos\official\core,base_trainer_test.py,"def test_configure_optimizer(self, mixed_precision_dtype, loss_scale):"
data/raw/repos\official\core,base_trainer_test.py,def test_export_best_ckpt(self):
data/raw/repos\official\core,base_trainer_test.py,def test_model_with_compiled_loss(self):
data/raw/repos\official\core,config_definitions.py,def model_parallelism(self):
data/raw/repos\official\core,export_base.py,"def _inference_step(inputs, model=None):"
data/raw/repos\official\core,export_base.py,def get_timestamped_export_dir(export_dir_base):
data/raw/repos\official\core,export_base_test.py,def test_export_module(self):
data/raw/repos\official\core,export_base_test.py,def test_custom_inference_step(self):
data/raw/repos\official\core,export_base_test.py,"def _inference_step(inputs, model):"
data/raw/repos\official\core,export_base_test.py,def test_processors(self):
data/raw/repos\official\core,export_base_test.py,"def _inference_step(inputs, model):"
data/raw/repos\official\core,export_base_test.py,def _preprocessor(inputs):
data/raw/repos\official\core,export_base_test.py,"def __call__(self, inputs):"
data/raw/repos\official\core,export_base_test.py,def test_get_timestamped_export_dir(self):
data/raw/repos\official\core,exp_factory.py,def register_config_factory(name):
data/raw/repos\official\core,file_writers_test.py,def setUp(self):
data/raw/repos\official\core,file_writers_test.py,"def test_write_small_dataset_success(self, file_type):"
data/raw/repos\official\core,file_writers_test.py,def test_write_small_dataset_unrecognized_format(self):
data/raw/repos\official\core,input_reader.py,def _get_random_integer():
data/raw/repos\official\core,input_reader.py,"def get_files(self, input_path):"
data/raw/repos\official\core,input_reader.py,def _shuffle_and_decode(ds):
data/raw/repos\official\core,registry.py,"def register(registered_collection, reg_key):"
data/raw/repos\official\core,registry.py,def decorator(fn_or_cls):
data/raw/repos\official\core,registry.py,"def lookup(registered_collection, reg_key):"
data/raw/repos\official\core,registry_test.py,def test_register(self):
data/raw/repos\official\core,registry_test.py,def func_test():
data/raw/repos\official\core,registry_test.py,def test_register_hierarchy(self):
data/raw/repos\official\core,registry_test.py,def func_test0():
data/raw/repos\official\core,registry_test.py,def func_test1():
data/raw/repos\official\core,registry_test.py,def func_test2():
data/raw/repos\official\core,registry_test.py,def test_register_error(self):
data/raw/repos\official\core,registry_test.py,def func_test0():
data/raw/repos\official\core,registry_test.py,def func_test1():
data/raw/repos\official\core,savedmodel_checkpoint_manager_test.py,"def __init__(self, hidden_size: int = 8):"
data/raw/repos\official\core,savedmodel_checkpoint_manager_test.py,"def call(self, inputs):"
data/raw/repos\official\core,savedmodel_checkpoint_manager_test.py,def saved_model_signatures(self):
data/raw/repos\official\core,savedmodel_checkpoint_manager_test.py,def test_max_to_keep(self):
data/raw/repos\official\core,savedmodel_checkpoint_manager_test.py,def test_returns_none_after_timeout(self):
data/raw/repos\official\core,savedmodel_checkpoint_manager_test.py,def test_saved_model_iterator(self):
data/raw/repos\official\core,savedmodel_checkpoint_manager_test.py,def test_saved_model_iterator_timeout_fn(self):
data/raw/repos\official\core,savedmodel_checkpoint_manager_test.py,def timeout_fn():
data/raw/repos\official\core,task_factory.py,def register_task_cls(task_config_cls):
data/raw/repos\official\core,task_factory.py,"def get_task(task_config, **kwargs):"
data/raw/repos\official\core,task_factory.py,def get_task_cls(task_config_cls):
data/raw/repos\official\core,test_utils.py,def __init__(self):
data/raw/repos\official\core,test_utils.py,"def call(self, inputs):"
data/raw/repos\official\core,test_utils.py,"def __init__(self, input_dim, output_size, name=None):"
data/raw/repos\official\core,test_utils.py,"def __call__(self, x):"
data/raw/repos\official\core,test_utils.py,"def __init__(self, input_size, name=None):"
data/raw/repos\official\core,test_utils.py,"def __call__(self, x):"
data/raw/repos\official\core,tf_example_builder_test.py,def test_init_an_empty_example(self):
data/raw/repos\official\core,tf_example_builder_test.py,def test_init_an_empty_serialized_example(self):
data/raw/repos\official\core,tf_example_builder_test.py,def test_add_feature(self):
data/raw/repos\official\core,tf_example_builder_test.py,def test_add_feature_dict(self):
data/raw/repos\official\core,tf_example_builder_test.py,"def test_add_single_byte_feature(self, value, expected_value):"
data/raw/repos\official\core,tf_example_builder_test.py,"def test_add_multiple_bytes_feature(self, values, expected_values):"
data/raw/repos\official\core,tf_example_builder_test.py,"def test_add_ints_feature(self, value, expected_value):"
data/raw/repos\official\core,tf_example_builder_test.py,"def test_add_floats_feature(self, value, expected_value):"
data/raw/repos\official\core,tf_example_feature_key.py,"def __init__(self, prefix: Optional[str] = None):"
data/raw/repos\official\core,tf_example_feature_key_test.py,def test_add_prefix_success(self):
data/raw/repos\official\core,tf_example_feature_key_test.py,"def test_add_prefix_skip_success(self, prefix):"
data/raw/repos\official\core,tf_example_feature_key_test.py,def test_all_feature_key_classes_are_valid(self):
data/raw/repos\official\core,train_lib.py,def _maybe_build_checkpoint_manager(sefl):
data/raw/repos\official\core,train_lib.py,def _build_best_checkpoint_exporter(self):
data/raw/repos\official\core,train_lib.py,def timeout_fn():
data/raw/repos\official\core,train_lib_test.py,def setUp(self):
data/raw/repos\official\core,train_lib_test.py,"def test_end_to_end(self, distribution_strategy, flag_mode, run_post_eval):"
data/raw/repos\official\core,train_lib_test.py,"def test_recovery_nan_error(self, distribution_strategy, flag_mode):"
data/raw/repos\official\core,train_lib_test.py,"def build_losses(labels, model_outputs, aux_losses=None):"
data/raw/repos\official\core,train_lib_test.py,"def test_recovery(self, distribution_strategy, flag_mode):"
data/raw/repos\official\core,train_lib_test.py,"def build_losses(labels, model_outputs, aux_losses=None):"
data/raw/repos\official\core,train_lib_test.py,def test_parse_configuration(self):
data/raw/repos\official\core,train_utils.py,"def __init__(self, export_dir: str, metric_name: str, metric_comp: str):"
data/raw/repos\official\core,train_utils.py,"def _get_checkpoint_manager(self, checkpoint):"
data/raw/repos\official\core,train_utils.py,def _maybe_load_best_eval_metric(self):
data/raw/repos\official\core,train_utils.py,"def _new_metric_is_better(self, old_logs, new_logs):"
data/raw/repos\official\core,train_utils.py,"def export_best_eval_metric(self, eval_logs, global_step):"
data/raw/repos\official\core,train_utils.py,def best_ckpt_logs(self):
data/raw/repos\official\core,train_utils.py,def best_ckpt_logs_path(self):
data/raw/repos\official\core,train_utils.py,def best_ckpt_path(self):
data/raw/repos\official\core,train_utils.py,"def __contains__(self, name):"
data/raw/repos\official\core,train_utils.py,"def __init__(self, flags_obj):"
data/raw/repos\official\core,train_utils.py,def parse(self):
data/raw/repos\official\core,train_utils.py,def base_experiment(self):
data/raw/repos\official\core,train_utils.py,"def parse_config_file(self, params):"
data/raw/repos\official\core,train_utils.py,"def parse_runtime(self, params):"
data/raw/repos\official\core,train_utils.py,"def parse_data_service(self, params):"
data/raw/repos\official\core,train_utils.py,"def parse_params_override(self, params):"
data/raw/repos\official\core,train_utils.py,"def parse_configuration(flags_obj, lock_return=True, print_return=True):"
data/raw/repos\official\core,train_utils.py,"def save_gin_config(filename_suffix: str, model_dir: str):"
data/raw/repos\official\core,train_utils.py,def read_global_step_from_checkpoint(ckpt_file_path):
data/raw/repos\official\core,train_utils.py,"def write_json_summary(log_dir, global_step, eval_metrics):"
data/raw/repos\official\core,train_utils.py,"def write_summary(summary_writer, global_step, eval_metrics):"
data/raw/repos\official\core,train_utils.py,def remove_ckpts(model_dir):
data/raw/repos\official\core,train_utils.py,"def _einsum_flops(graph, node):"
data/raw/repos\official\core,train_utils_test.py,def foo():
data/raw/repos\official\core,train_utils_test.py,def test_get_leaf_nested_dict(self):
data/raw/repos\official\core,train_utils_test.py,def test_get_leaf_nested_dict_not_leaf(self):
data/raw/repos\official\core,train_utils_test.py,def test_get_leaf_nested_dict_path_not_exist_missing_key(self):
data/raw/repos\official\core,train_utils_test.py,def test_get_leaf_nested_dict_path_not_exist_out_of_range(self):
data/raw/repos\official\core,train_utils_test.py,def test_get_leaf_nested_dict_path_not_exist_meets_leaf(self):
data/raw/repos\official\core,train_utils_test.py,def test_cast_leaf_nested_dict(self):
data/raw/repos\official\core,train_utils_test.py,def test_write_model_params_keras_model(self):
data/raw/repos\official\core,train_utils_test.py,def test_write_model_params_module(self):
data/raw/repos\official\core,train_utils_test.py,def test_construct_experiment_from_flags(self):
data/raw/repos\official\core,train_utils_test.py,def test_maybe_export(self):
data/raw/repos\official\core,train_utils_test.py,def test_export_best_eval_metric(self):
data/raw/repos\official\core,train_utils_test.py,def test_export_best_eval_metric_skips_non_scalar_values(self):
data/raw/repos\official\legacy\albert,configs.py,"def __init__(self, num_hidden_groups=1, inner_group_num=1, **kwargs):"
data/raw/repos\official\legacy\albert,configs.py,"def from_dict(cls, json_object):"
data/raw/repos\official\legacy\bert,bert_models.py,"def __init__(self, vocab_size, **kwargs):"
data/raw/repos\official\legacy\bert,bert_models_test.py,def setUp(self):
data/raw/repos\official\legacy\bert,bert_models_test.py,def test_pretrain_model(self):
data/raw/repos\official\legacy\bert,bert_models_test.py,def test_squad_model(self):
data/raw/repos\official\legacy\bert,bert_models_test.py,def test_classifier_model(self):
data/raw/repos\official\legacy\bert,common_flags.py,def define_common_bert_flags():
data/raw/repos\official\legacy\bert,common_flags.py,def dtype():
data/raw/repos\official\legacy\bert,common_flags.py,def use_float16():
data/raw/repos\official\legacy\bert,common_flags.py,def get_loss_scale():
data/raw/repos\official\legacy\bert,configs.py,"def from_dict(cls, json_object):"
data/raw/repos\official\legacy\bert,configs.py,"def from_json_file(cls, json_file):"
data/raw/repos\official\legacy\bert,configs.py,def to_dict(self):
data/raw/repos\official\legacy\bert,configs.py,def to_json_string(self):
data/raw/repos\official\legacy\bert,export_tfhub.py,def main(_):
data/raw/repos\official\legacy\bert,export_tfhub_test.py,"def test_export_tfhub(self, ckpt_key_name):"
data/raw/repos\official\legacy\bert,export_tfhub_test.py,"def _dropout_mean_stddev(training, num_runs=20):"
data/raw/repos\official\legacy\bert,input_pipeline.py,"def decode_record(record, name_to_features):"
data/raw/repos\official\legacy\bert,input_pipeline.py,"def single_file_dataset(input_file, name_to_features, num_samples=None):"
data/raw/repos\official\legacy\bert,input_pipeline.py,def _select_data_from_record(record):
data/raw/repos\official\legacy\bert,input_pipeline.py,def _select_data_from_record(record):
data/raw/repos\official\legacy\bert,input_pipeline.py,def _select_data_from_record(record):
data/raw/repos\official\legacy\bert,input_pipeline.py,def _select_data_from_record(record):
data/raw/repos\official\legacy\bert,input_pipeline.py,"def _pad_to_batch(x, y):"
data/raw/repos\official\legacy\bert,model_training_utils.py,def _should_export_checkpoint(strategy):
data/raw/repos\official\legacy\bert,model_training_utils.py,def _should_export_summary(strategy):
data/raw/repos\official\legacy\bert,model_training_utils.py,"def _save_checkpoint(strategy, checkpoint, model_dir, checkpoint_prefix):"
data/raw/repos\official\legacy\bert,model_training_utils.py,"def _get_input_iterator(input_fn, strategy):"
data/raw/repos\official\legacy\bert,model_training_utils.py,def _float_metric_value(metric):
data/raw/repos\official\legacy\bert,model_training_utils.py,def clip_by_global_norm_callback(grads_and_vars):
data/raw/repos\official\legacy\bert,model_training_utils.py,"def steps_to_run(current_step, steps_per_epoch, steps_per_loop):"
data/raw/repos\official\legacy\bert,model_training_utils.py,"def write_txt_summary(training_summary, summary_dir):"
data/raw/repos\official\legacy\bert,model_training_utils.py,def _replicated_step(inputs):
data/raw/repos\official\legacy\bert,model_training_utils.py,"def train_steps(iterator, steps):"
data/raw/repos\official\legacy\bert,model_training_utils.py,def train_single_step(iterator):
data/raw/repos\official\legacy\bert,model_training_utils.py,def test_step(iterator):
data/raw/repos\official\legacy\bert,model_training_utils.py,def _test_step_fn(inputs):
data/raw/repos\official\legacy\bert,model_training_utils.py,"def _run_evaluation(current_training_step, test_iterator):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,def eager_strategy_combinations():
data/raw/repos\official\legacy\bert,model_training_utils_test.py,def eager_gpu_strategy_combinations():
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def create_fake_data_input_fn(batch_size, features_shape, num_classes):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,def _dataset_fn(input_context=None):
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def _assign_dtype(features, labels):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def create_model_fn(input_shape, num_classes, use_float16=False):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,def _model_fn():
data/raw/repos\official\legacy\bert,model_training_utils_test.py,def metric_fn():
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def summaries_with_matching_keyword(keyword, summary_dir):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def check_eventfile_for_keyword(keyword, summary_dir):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,def __init__(self):
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def on_batch_begin(self, batch, logs=None):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def on_batch_end(self, batch, logs=None):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def on_epoch_begin(self, epoch, logs=None):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def on_epoch_end(self, epoch, logs=None):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,def setUp(self):
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def run_training(self, strategy, model_dir, steps_per_loop, run_eagerly):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def test_train_eager_single_step(self, distribution):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def test_train_eager_mixed_precision(self, distribution):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def test_train_check_artifacts(self, distribution):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def test_train_check_callbacks(self, distribution):"
data/raw/repos\official\legacy\bert,model_training_utils_test.py,"def test_train_check_artifacts_non_chief(self, distribution):"
data/raw/repos\official\legacy\bert,run_classifier.py,def get_loss_fn(num_classes):
data/raw/repos\official\legacy\bert,run_classifier.py,"def classification_loss_fn(labels, logits):"
data/raw/repos\official\legacy\bert,run_classifier.py,def _dataset_fn(ctx=None):
data/raw/repos\official\legacy\bert,run_classifier.py,def _get_classifier_model():
data/raw/repos\official\legacy\bert,run_classifier.py,def test_step(iterator):
data/raw/repos\official\legacy\bert,run_classifier.py,def _test_step_fn(inputs):
data/raw/repos\official\legacy\bert,run_classifier.py,def _run_evaluation(test_iterator):
data/raw/repos\official\legacy\bert,run_classifier.py,"def custom_main(custom_callbacks=None, custom_metrics=None):"
data/raw/repos\official\legacy\bert,run_classifier.py,def main(_):
data/raw/repos\official\legacy\bert,run_pretraining.py,def _dataset_fn(ctx=None):
data/raw/repos\official\legacy\bert,run_pretraining.py,def get_loss_fn():
data/raw/repos\official\legacy\bert,run_pretraining.py,"def _bert_pretrain_loss_fn(unused_labels, losses, **unused_args):"
data/raw/repos\official\legacy\bert,run_pretraining.py,def _get_pretrain_model():
data/raw/repos\official\legacy\bert,run_pretraining.py,"def run_bert_pretrain(strategy, custom_callbacks=None):"
data/raw/repos\official\legacy\bert,run_pretraining.py,def main(_):
data/raw/repos\official\legacy\bert,run_squad.py,"def predict_squad(strategy, input_meta_data):"
data/raw/repos\official\legacy\bert,run_squad.py,"def eval_squad(strategy, input_meta_data):"
data/raw/repos\official\legacy\bert,run_squad.py,"def export_squad(model_export_path, input_meta_data):"
data/raw/repos\official\legacy\bert,run_squad.py,def main(_):
data/raw/repos\official\legacy\bert,run_squad_helper.py,def define_common_squad_flags():
data/raw/repos\official\legacy\bert,run_squad_helper.py,"def squad_loss_fn(start_positions, end_positions, start_logits, end_logits):"
data/raw/repos\official\legacy\bert,run_squad_helper.py,def get_loss_fn():
data/raw/repos\official\legacy\bert,run_squad_helper.py,"def _loss_fn(labels, model_outputs):"
data/raw/repos\official\legacy\bert,run_squad_helper.py,def get_raw_results(predictions):
data/raw/repos\official\legacy\bert,run_squad_helper.py,def _dataset_fn(ctx=None):
data/raw/repos\official\legacy\bert,run_squad_helper.py,def predict_step(iterator):
data/raw/repos\official\legacy\bert,run_squad_helper.py,def _replicated_step(inputs):
data/raw/repos\official\legacy\bert,run_squad_helper.py,def _get_squad_model():
data/raw/repos\official\legacy\bert,run_squad_helper.py,"def _append_feature(feature, is_padding):"
data/raw/repos\official\legacy\bert,run_squad_helper.py,def _get_matched_files(input_path):
data/raw/repos\official\legacy\bert,run_squad_helper.py,"def export_squad(model_export_path, input_meta_data, bert_config):"
data/raw/repos\official\legacy\bert,serving.py,"def __init__(self, bert_config, name_to_features=None, name=""serving_model""):"
data/raw/repos\official\legacy\bert,serving.py,"def call(self, inputs):"
data/raw/repos\official\legacy\bert,serving.py,"def serve_body(self, input_ids, input_mask=None, segment_ids=None):"
data/raw/repos\official\legacy\bert,serving.py,"def serve(self, input_ids, input_mask=None, segment_ids=None):"
data/raw/repos\official\legacy\bert,serving.py,"def serve_examples(self, inputs):"
data/raw/repos\official\legacy\bert,serving.py,"def export(cls, model, export_dir):"
data/raw/repos\official\legacy\bert,serving.py,def main(_):
data/raw/repos\official\legacy\detection,main.py,def _model_fn(params):
data/raw/repos\official\legacy\detection,main.py,def _model_fn(params):
data/raw/repos\official\legacy\detection,main.py,def run(callbacks=None):
data/raw/repos\official\legacy\detection,main.py,def main(argv):
data/raw/repos\official\legacy\detection\configs,factory.py,def config_generator(model):
data/raw/repos\official\legacy\detection\dataloader,anchor.py,def _generate_boxes(self):
data/raw/repos\official\legacy\detection\dataloader,anchor.py,"def unpack_labels(self, labels):"
data/raw/repos\official\legacy\detection\dataloader,anchor.py,def anchors_per_location(self):
data/raw/repos\official\legacy\detection\dataloader,anchor.py,def multilevel_boxes(self):
data/raw/repos\official\legacy\detection\dataloader,anchor.py,"def __init__(self, anchor, match_threshold=0.5, unmatched_threshold=0.5):"
data/raw/repos\official\legacy\detection\dataloader,anchor.py,"def label_anchors(self, gt_boxes, gt_labels):"
data/raw/repos\official\legacy\detection\dataloader,anchor.py,"def _get_rpn_samples(self, match_results):"
data/raw/repos\official\legacy\detection\dataloader,anchor.py,"def label_anchors(self, gt_boxes, gt_labels):"
data/raw/repos\official\legacy\detection\dataloader,anchor.py,"def label_anchors_lrtb(self, gt_boxes, gt_labels):"
data/raw/repos\official\legacy\detection\dataloader,factory.py,"def parser_generator(params, mode):"
data/raw/repos\official\legacy\detection\dataloader,input_reader.py,"def __call__(self, ctx=None, batch_size: int = None):"
data/raw/repos\official\legacy\detection\dataloader,maskrcnn_parser.py,"def __call__(self, value):"
data/raw/repos\official\legacy\detection\dataloader,maskrcnn_parser.py,"def _parse_train_data(self, data):"
data/raw/repos\official\legacy\detection\dataloader,maskrcnn_parser.py,"def _parse_eval_data(self, data):"
data/raw/repos\official\legacy\detection\dataloader,maskrcnn_parser.py,"def _parse_predict_data(self, data):"
data/raw/repos\official\legacy\detection\dataloader,olnmask_parser.py,"def _parse_train_data(self, data):"
data/raw/repos\official\legacy\detection\dataloader,retinanet_parser.py,def process_source_id(source_id):
data/raw/repos\official\legacy\detection\dataloader,retinanet_parser.py,"def pad_groundtruths_to_fixed_size(gt, n):"
data/raw/repos\official\legacy\detection\dataloader,retinanet_parser.py,"def __call__(self, value):"
data/raw/repos\official\legacy\detection\dataloader,retinanet_parser.py,"def _parse_train_data(self, data):"
data/raw/repos\official\legacy\detection\dataloader,retinanet_parser.py,"def _parse_eval_data(self, data):"
data/raw/repos\official\legacy\detection\dataloader,retinanet_parser.py,"def _parse_predict_data(self, data):"
data/raw/repos\official\legacy\detection\dataloader,shapemask_parser.py,"def pad_to_size(input_tensor, size):"
data/raw/repos\official\legacy\detection\dataloader,shapemask_parser.py,"def __call__(self, value):"
data/raw/repos\official\legacy\detection\dataloader,shapemask_parser.py,"def _parse_train_data(self, data):"
data/raw/repos\official\legacy\detection\dataloader,shapemask_parser.py,"def _parse_predict_data(self, data):"
data/raw/repos\official\legacy\detection\dataloader,tf_example_decoder.py,"def __init__(self, include_mask=False):"
data/raw/repos\official\legacy\detection\dataloader,tf_example_decoder.py,"def _decode_image(self, parsed_tensors):"
data/raw/repos\official\legacy\detection\dataloader,tf_example_decoder.py,"def _decode_boxes(self, parsed_tensors):"
data/raw/repos\official\legacy\detection\dataloader,tf_example_decoder.py,"def _decode_masks(self, parsed_tensors):"
data/raw/repos\official\legacy\detection\dataloader,tf_example_decoder.py,def _decode_png_mask(png_bytes):
data/raw/repos\official\legacy\detection\dataloader,tf_example_decoder.py,"def _decode_areas(self, parsed_tensors):"
data/raw/repos\official\legacy\detection\dataloader,tf_example_decoder.py,"def decode(self, serialized_example):"
data/raw/repos\official\legacy\detection\evaluation,coco_evaluator.py,"def __init__(self, coco_gt, coco_dt, iou_type='box'):"
data/raw/repos\official\legacy\detection\evaluation,coco_evaluator.py,def summarize(self):
data/raw/repos\official\legacy\detection\evaluation,coco_evaluator.py,"def _summarize(ap=1, iou_thr=None, area_rng='all', max_dets=100):"
data/raw/repos\official\legacy\detection\evaluation,coco_evaluator.py,def _summarize_dets():
data/raw/repos\official\legacy\detection\evaluation,coco_evaluator.py,"def __init__(self, coco_gt, coco_dt, iou_type='box'):"
data/raw/repos\official\legacy\detection\evaluation,coco_evaluator.py,"def evaluateImg(self, img_id, cat_id, a_rng, max_det):"
data/raw/repos\official\legacy\detection\evaluation,coco_evaluator.py,"def __init__(self, evaluator):"
data/raw/repos\official\legacy\detection\evaluation,coco_evaluator.py,"def update_state(self, y_true, y_pred):"
data/raw/repos\official\legacy\detection\evaluation,coco_evaluator.py,def result(self):
